ISSN,Ejis 2007,EjisCI 2007,Wie 2008,HEC 2011,UQ 2011,ABS 2015,Vhb 2015,Abdc 2016,Ess 2016,Fnege 2016,Cnrs 2017,Den 2017,Hceres 2017
0004-8992,,,,,,4,,3,,,4,2,2
0007-6791,3,3,,,,3,,2,3,3,3,1,1
0007-6805,3,3,2,,,2,,2,,4,4,1,2
1467-2227,,,,,,3,,2,,4,4,1,2
2155-2851,,,,3,4,4,4,3,,4,4,2,2
0021-9436,4,4,,,4,,,4,4,,,2,
0021-9916,,,,,1,,4,2,,,,1,
0090-9882,,,,,3,,,3,,,,2,
0093-6502,,,,,2,,,2,,,,1,
0163-4437,,,,,2,,,3,,,,1,
0267-3231,,,,,1,,,3,4,,,1,
0271-5309,,,,,2,,,3,,,,2,
0360-3989,,,,,1,,,2,,,,1,
0363-7751,,,,,2,,,2,,,,1,
0741-0883,,,,,3,,,3,,,,1,
0810-9028,,,,,3,4,,3,,,,2,
0957-9265,,,,,2,,,2,,,,1,
1050-3293,,,,,2,,,2,,,,1,
1058-4609,,,,,2,,,2,,,,1,
1075-5470,,,,,2,,,2,,,,1,
1080-5699,,,,,3,,,4,4,,,,
1363-254X,,,,,,,,3,4,,,2,
1387-6740,,,,,,,,3,,,,1,
1529-5036,,,,,3,,,4,,,,2,
1740-5904,,,,,3,,,3,,,,1,
0002-7766,1,2,,1,,,,3,,,,2,
0002-8282,1,1,1,1,,1,1,1,1,,1,1,1
0002-9092,2,2,,,,3,,1,,,2,2,1
0002-9246,1,2,,,,4,,3,,,,2,
0003-6846,3,3,2,,,4,4,2,,,3,2,1
0004-900X,4,4,2,,,5,,3,,,4,2,2
0004-9018,3,3,,,,5,,3,,,5,2,3
0007-2303,1,1,2,2,,3,,2,3,,2,1,1
0007-4918,,,,,,5,,3,,,,2,
0008-4085,2,2,2,3,,3,6,2,3,,3,2,1
0012-1533,4,4,,,,,,3,,,,2,
0012-9682,1,1,1,1,,1,1,1,1,,1,1,1
0013-0095,2,1,2,,,2,,2,2,,2,1,1
0013-0117,1,2,2,,,2,,2,,,2,1,1
0013-0133,1,1,1,1,,2,2,1,3,,2,1,1
0013-0249,3,3,,,2,4,,2,,,4,2,2
0013-0427,2,2,2,2,,3,,2,3,,3,1,1
0014-2921,2,2,,2,,3,4,1,3,,2,1,1
0014-4983,2,2,,,,3,,2,,,3,2,1
0015-2218,3,3,2,,,5,4,3,,,5,2,3
0018-2702,2,2,2,,,4,,2,,,2,1,1
0020-6598,2,2,1,1,,2,4,1,3,,2,1,1
0020-7276,2,2,2,3,,4,2,2,,,3,2,1
0020-8183,,,,,,,,3,,,4,1,2
0020-8833,3,3,,,,,,2,,,,1,
0021-3624,3,3,2,,,4,,3,,,4,2,2
0021-9886,3,3,,,,3,,3,,,4,1,2
0022-037X,3,3,,,,5,,3,,,,2,
0022-0388,2,2,,4,,3,,2,,,3,1,1
0022-0485,2,3,2,,,5,,3,,,4,2,2
0022-0507,1,2,2,,,3,,1,,,2,1,1
0022-0515,1,1,1,1,,2,,1,2,,1,1,1
0022-0531,1,1,1,1,,2,,1,2,,2,1,1
0022-1821,2,2,2,2,,3,2,2,3,,2,1,1
0022-1996,1,2,2,1,,2,,1,3,,2,1,1
0022-2186,1,1,2,,,3,4,1,2,,2,2,1
0022-3808,1,1,1,1,,1,1,1,1,,1,1,1
0022-4146,1,2,2,,,3,,2,3,,3,2,1
0022-5258,3,3,2,,,4,,2,,,4,2,1
0023-5962,2,2,2,,,3,4,2,,,3,2,1
0023-7639,3,3,,,,3,,2,3,,3,2,1
0027-9501,,,,,,5,,3,,,,2,
0028-0283,2,2,2,,,4,2,2,,,3,2,
0030-7653,2,2,2,3,,3,,2,,,3,2,1
0033-5533,1,1,1,1,,1,,1,1,,1,1,1
0034-6527,1,1,1,1,,1,,1,2,,1,1,1
0034-6535,1,2,2,1,,2,,1,2,,2,1,1
0034-6586,3,3,2,,,3,,2,,,3,2,1
0034-6764,2,3,,,,4,,3,,,4,2,2
0036-9292,2,2,2,,,4,,2,,,4,2,2
0038-0121,4,4,,,,,,4,,,,2,
0038-4038,2,2,2,3,,4,,2,3,,3,2,1
0047-2727,2,2,2,1,,3,2,1,3,,2,1,1
0048-7333,2,2,2,1,1,2,2,1,3,2,2,1,1
0070-3370,,1,,,,,,2,,,2,1,1
0090-0036,,1,,,,,4,1,,,,1,
0094-1190,2,2,2,,,3,,1,3,,2,1,1
0095-0696,2,2,2,3,,3,4,1,,,2,1,1
0095-2583,2,2,2,3,,3,,2,3,,3,2,1
0140-9883,3,3,2,,,3,4,1,3,,3,1,1
0143-6570,3,3,,4,,4,4,3,5,,4,1,2
0143-831X,2,3,,,3,3,,2,,,4,1,2
0144-3585,3,3,,,,4,,3,,,,2,
0144-8188,3,3,2,,,4,4,3,3,,2,1,1
0147-5967,2,3,2,3,,3,,2,4,,2,2,1
0148-6195,3,3,2,3,,5,6,3,4,,,2,
0160-0176,3,2,,,,,,3,,,3,2,1
0160-3477,2,2,2,4,,4,,3,,,3,2,1
0162-1459,1,1,2,1,,2,,1,1,,,1,
0164-0704,2,2,2,3,,4,,2,3,,3,2,1
0165-1587,3,3,,,,3,,2,,,3,2,1
0165-1765,2,2,2,,,3,4,2,3,,4,2,2
0165-1889,3,3,2,4,,3,2,1,3,,2,1,1
0165-4896,2,3,,3,,4,,2,,,3,2,1
0166-0462,2,2,2,,,3,,2,3,,3,2,1
0167-2681,2,2,2,2,,3,2,1,3,,3,1,1
0167-4870,3,3,2,,,4,4,2,3,,3,2,1
0167-6245,3,3,,,,4,,2,,,3,2,1
0167-6296,2,1,2,,,3,2,1,3,,2,1,1
0169-2070,2,2,,3,2,3,6,2,3,4,4,1,2
0169-5150,,,,,,4,,2,,,4,2,2
0176-2680,2,2,2,,,4,,2,3,,3,1,1
0195-6574,,,,,,3,,2,3,,2,2,1
0197-4254,4,4,2,,,5,,4,,,,2,
0257-3032,3,3,,4,,4,,3,,,,2,
0258-6770,1,2,2,3,,3,,2,,,2,2,1
0264-9993,4,4,2,,,4,,2,,,3,2,1
0266-2671,4,4,,,,4,,2,,,2,2,1
0266-4658,2,2,2,,,3,,2,,,3,1,1
0266-4666,2,2,2,2,,2,,1,3,,2,1,1
0266-903X,3,3,2,3,,4,,2,,,4,2,2
0269-2171,2,2,,,,5,,3,,,5,2,3
0272-7757,,,,,,4,,2,,,3,1,1
0277-5921,2,3,,,,4,,3,,,,2,
0301-4215,,,,,,4,4,2,,,3,1,1
0301-4797,4,4,,,,3,5,2,4,,4,1,2
0304-3878,2,2,2,1,,3,,1,3,,2,1,1
0304-3932,1,1,2,1,,2,,1,2,,2,1,1
0304-4068,1,2,2,2,,3,,2,,,2,2,1
0304-4076,1,2,1,1,,2,,1,2,,2,1,1
0305-7410,3,3,,,,4,,2,,,,1,
0305-750X,2,2,2,2,,3,,2,,,2,1,1
0305-9049,2,3,2,2,,3,,2,,,3,2,1
0306-8293,4,4,,,,5,,3,,,,2,
0307-3378,3,3,,,,4,,3,,,4,2,2
0308-5147,2,2,2,,,3,,2,,,3,1,1
0308-597X,,2,,,,4,,2,,,,1,
0309-166X,2,2,2,3,,3,,2,,,3,1,1
0340-8744,3,3,2,,,5,,4,,,,2,
0347-0520,2,2,2,3,,3,,2,3,,3,1,1
0377-7332,3,3,2,,,4,,2,,,5,2,3
0378-5920,2,3,,,,4,,2,,,3,2,1
0391-5115,3,3,,,,5,,3,,,5,,3
0570-1864,3,3,2,,,4,,3,,,3,2,1
0734-306X,1,2,2,1,1,2,2,1,,,2,1,1
0735-0015,2,2,2,2,,2,,1,3,,2,1,1
0741-6261,1,1,1,1,,2,2,1,1,,2,1,1
0747-4938,2,2,2,3,,3,,2,3,,3,2,1
0747-5535,3,3,,,,,,3,,,,2,
0883-7252,1,2,2,2,,3,,1,3,,3,1,1
0889-938X,3,3,2,,,4,,2,,,3,2,1
0895-3309,2,1,2,1,,2,,1,3,,2,1,1
0895-5646,2,2,2,2,1,3,4,2,3,3,3,1,1
0899-8256,3,3,2,1,,3,,1,2,,2,1,1
0921-8009,2,2,2,,,3,4,2,3,,2,2,1
0922-1425,3,3,,,,5,,3,,,,2,
0922-680X,3,3,,4,,4,,2,,,3,2,1
0927-5371,2,2,2,,2,3,4,2,3,,3,1,1
0931-8658,2,2,2,,,4,,3,3,,4,2,2
0932-4569,3,3,2,3,,4,4,2,3,,3,2,1
0933-1433,,,,4,,3,,2,,,3,1,1
0936-9937,2,2,2,,2,4,,2,,,3,1,1
0938-2259,2,2,2,2,,3,,1,,,2,1,1
0950-0804,,,2,,,4,,3,4,,3,2,1
0954-1748,4,4,,,,4,,3,,,4,2,2
0960-3107,3,3,,,4,4,6,3,,5,5,2,3
0960-6491,3,3,,2,2,3,4,2,3,,2,1,1
0965-7576,,,2,2,,4,,2,4,,3,2,1
0967-0750,3,3,,,,4,,2,3,,3,2,1
0967-2567,2,3,,,,4,,3,,4,2,2,1
1011-6702,4,4,,3,,4,,3,,,5,1,3
1018-5895,4,4,2,,2,4,4,3,,5,4,2,2
1042-7716,,,,,,4,,3,,,3,2,1
1043-951X,,,,,,4,,2,,,3,2,1
1049-0078,4,4,,,,5,,3,,,5,2,3
1051-1377,,,,,,4,,2,,,3,2,1
1053-5357,4,4,,,,4,4,3,4,,,,
1056-8190,3,3,,,,,,2,3,,3,2,1
1057-9230,3,3,,,,3,2,1,3,,2,1,1
1058-6407,3,4,2,2,,4,2,2,,3,2,1,1
