item_id,1,7,13,18,59,85,90,92,94,95,130,145,151,178,181,184,194,201,222,234,244,268,269,271,276,279,280,286,291,293,299,301,303,308,311,313,314,327,328,334,339,363,374,378,385,387,389,393,399,405,406,416,417,429,435,437,450,457,472,474,497,504,506,524,532,533,537,551,561,592,642,648,650,653,655,666,682,716,727,747,749,758,788,796,798,804,805,833,846,864,870,880,881,883,886,889,894,896,916,932
1,5,NA,3,5,2,NA,NA,4,4,5,5,3,5,4,3,4,4,3,4,3,4,3,NA,3,5,3,4,4,5,2,3,4,5,4,4,4,5,4,NA,NA,5,2,4,4,NA,4,4,3,4,NA,4,5,4,3,5,NA,4,4,5,NA,4,NA,NA,NA,5,4,2,NA,2,4,5,5,3,4,2,NA,4,5,3,5,4,NA,3,2,4,5,4,NA,NA,5,5,4,4,3,4,3,4,4,4,4
2,3,NA,3,NA,NA,NA,NA,3,NA,2,4,NA,NA,4,NA,NA,NA,2,3,2,NA,2,NA,1,4,4,3,NA,NA,3,NA,2,3,NA,NA,NA,NA,2,NA,NA,NA,4,4,2,3,4,NA,4,3,1,NA,4,NA,3,4,NA,4,NA,5,NA,1,NA,4,NA,5,NA,NA,2,3,NA,4,4,3,1,3,NA,3,NA,4,NA,4,NA,NA,5,4,4,NA,NA,5,4,2,3,NA,NA,4,3,NA,3,3,NA
3,4,NA,NA,NA,4,NA,NA,NA,NA,1,5,3,NA,NA,2,NA,NA,NA,NA,NA,5,1,3,NA,3,NA,2,2,3,2,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,4,2,3,NA,4,NA,5,NA,4,NA,NA,NA,NA,NA,2,5,3,4,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,4,NA,NA,3,NA
4,3,5,5,3,4,NA,NA,4,4,NA,2,NA,5,NA,NA,NA,4,4,3,4,NA,4,NA,5,4,4,3,5,4,4,3,4,4,5,NA,NA,NA,4,3,3,4,5,2,3,2,3,4,4,NA,4,2,4,3,4,4,NA,3,4,3,5,3,4,NA,4,5,3,2,2,3,4,3,1,3,3,2,5,3,2,NA,4,4,4,3,5,NA,4,2,3,5,4,2,4,3,4,3,3,NA,3,4,NA
5,3,NA,1,NA,NA,NA,NA,4,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,3,NA,4,NA,5,3,NA,NA,2,4,3,NA,4,NA,NA,NA,3,1,4,3,NA,NA,NA,3,3,4,4,NA,4,NA,2,2,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,4,NA,NA,NA,4,NA,NA,2,2,3,NA,3,NA,NA,NA,NA,4,NA,NA,4,1,NA,4,NA,3,NA,NA,3,NA,NA,NA,3,NA
6,5,NA,NA,5,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,4,5,2,NA,4,NA,NA,4,4,5,5,5,4,4,4,3,3,3,5,2,4,4,3,NA,5,5,4,4,5,3,3,4,4,4,NA,NA,4,3,4,5,4,3,1,4,NA,5,NA,4,NA,NA,4,4,3,2,4,NA,4,4,5,5,3,NA,NA,2,5,NA,4,5,5,5,NA,3,4,2,3,4,4,NA,2,4,NA,5,4,NA,NA,4,5,3,NA,5,4,3,4,5,5,3,4,4,4,4
8,1,5,4,5,NA,4,5,5,5,5,NA,NA,NA,4,NA,NA,3,3,1,5,NA,NA,2,4,4,NA,5,NA,4,3,NA,4,5,5,4,3,4,4,3,4,NA,5,NA,4,5,4,4,3,3,4,4,5,NA,3,3,4,NA,5,NA,5,NA,NA,5,NA,5,3,NA,NA,3,5,5,NA,NA,NA,3,NA,3,NA,NA,5,NA,5,NA,5,NA,NA,3,NA,4,5,NA,4,4,4,NA,3,NA,5,NA,NA
9,5,5,3,5,4,4,4,4,5,NA,NA,2,4,2,4,5,4,3,5,3,5,NA,4,4,5,NA,5,NA,5,NA,NA,3,5,4,4,NA,4,5,4,4,5,3,1,5,NA,NA,NA,4,3,NA,5,5,NA,NA,4,NA,NA,5,NA,5,NA,4,NA,NA,5,4,NA,5,4,5,NA,1,NA,NA,3,NA,3,NA,NA,5,3,NA,4,3,NA,NA,3,NA,NA,5,5,NA,3,4,5,4,4,4,5,5
10,3,4,NA,NA,4,4,5,NA,NA,NA,NA,NA,5,NA,2,NA,NA,3,NA,3,NA,4,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4,4,4,NA,NA,NA,3,NA,4,NA,NA,NA,NA,3,3,NA,NA,5,NA,4,NA,NA,NA,NA,NA,2,NA,NA,2,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,4,NA,NA,5,3,NA,4,NA,NA,NA
11,2,3,1,NA,5,NA,4,4,5,NA,5,5,NA,5,NA,3,NA,4,5,2,NA,4,3,4,5,NA,5,5,4,3,NA,4,4,5,NA,NA,5,4,3,4,4,5,4,3,NA,3,NA,3,4,4,4,4,5,4,5,1,5,4,5,5,3,NA,NA,NA,5,NA,3,5,4,5,NA,NA,NA,2,2,4,4,4,3,5,5,3,2,NA,NA,4,2,5,5,5,4,4,4,2,5,5,NA,2,4,NA
12,5,5,5,5,5,NA,5,5,4,NA,4,5,5,5,NA,NA,5,4,5,1,NA,4,NA,4,5,2,5,NA,5,4,5,4,4,5,4,NA,4,3,5,5,5,5,4,5,3,5,NA,5,3,5,4,5,4,5,5,5,4,5,5,5,4,NA,5,3,5,4,3,4,5,5,NA,NA,NA,NA,3,4,5,NA,5,4,NA,5,5,5,NA,NA,4,5,5,5,4,5,NA,4,5,5,5,3,4,NA
